Record_ID,Date,City_ID,Trend_ID,Season_ID,Eco_ID,Petrol_Price_INR,Diesel_Price_INR,Tax_Percentage,Dealer_Commission,Transportation_Cost,Population_Millions,Vehicle_Density,Demand_Index,Supply_Index,Price_Change_Percent
33,2023-02-02,32,2,1,33,103.13,91.57,38.89,4.13,3.65,7.94,283.93,92.68,58.77,2.23
34,2023-02-03,33,1,2,34,90.96,77.67,40.59,5.28,2.07,18.86,255.93,53.08,139.76,-4.12
35,2023-02-04,34,2,2,35,99.84,86.93,33.31,5.29,3.08,24.58,942.59,141.43,69.15,0.75
36,2023-02-05,35,3,1,36,107.27,95.05,36.44,4.74,1.79,15.89,801.52,120.71,86.76,-3.68
37,2023-02-06,36,2,3,37,108.11,99.52,31.95,3.89,3.77,13.59,123.96,58.39,96.62,1.85
38,2023-02-07,37,1,3,38,99.99,93.77,26.91,3.61,1.51,4.77,462.35,67.47,58.3,-3.05
39,2023-02-08,38,2,4,39,94.16,86.99,27.83,5.23,2.82,2.43,265.22,110.31,63.82,-2.65
40,2023-02-09,39,3,4,40,114.21,100.56,29.01,2.9,3.39,6.03,384.85,140.85,102.54,3.44
41,2023-02-10,40,1,4,41,104.9,91.33,28.52,3.71,1.33,12.41,358.39,58.76,119.94,-1.89
42,2023-02-11,6,1,2,42,97.25,82.73,33.33,4.27,3.31,7.5,999.4,93.33,134.45,3.35
43,2023-02-12,18,2,1,43,93.41,87.65,26.19,5.33,3.27,24.62,978.0,70.0,136.25,2.58
44,2023-02-13,41,1,4,44,106.93,96.56,32.92,3.5,3.87,15.62,180.31,68.03,104.5,-1.8
45,2023-02-14,42,2,1,45,92.27,80.78,42.91,4.19,3.73,8.76,316.64,123.01,78.68,1.9
46,2023-02-15,27,2,2,46,90.15,78.04,30.15,3.12,1.86,18.56,801.73,132.65,107.96,-4.92
47,2023-02-16,35,3,4,47,100.9,89.46,25.57,5.35,2.57,5.9,669.82,142.11,112.3,0.74
48,2023-02-17,43,3,2,48,93.7,81.0,28.67,5.14,3.74,22.8,170.49,118.4,78.69,3.28
49,2023-02-18,44,3,3,49,103.87,95.27,41.92,5.28,0.52,12.44,144.83,56.56,116.72,3.44
50,2023-02-19,36,1,1,50,88.54,81.74,43.54,2.23,2.7,13.05,248.32,85.71,67.42,1.19
51,2023-02-20,41,3,4,51,104.65,97.6,42.17,3.95,1.25,6.04,489.78,94.16,79.58,-1.48
52,2023-02-21,45,2,2,52,93.5,88.38,27.18,2.54,3.09,0.91,878.64,77.59,143.01,4.72
53,2023-02-22,46,2,1,53,85.01,76.5,29.7,4.7,3.29,24.79,435.04,103.99,101.0,4.9
54,2023-02-23,47,3,3,54,88.81,82.89,44.37,3.25,3.0,18.89,355.56,73.26,65.05,-4.75
55,2023-02-24,48,3,2,55,113.01,104.79,28.1,5.1,3.99,19.75,369.71,139.94,116.84,-3.4
56,2023-02-25,49,3,1,56,111.02,99.74,23.45,2.26,2.18,8.59,665.23,64.35,72.97,4.76
57,2023-02-26,50,1,1,57,92.01,78.06,27.05,4.05,2.46,15.13,432.41,92.61,53.49,4.94
58,2023-02-27,51,3,2,58,108.35,94.96,44.1,2.49,1.93,9.92,510.44,62.48,137.19,4.44
59,2023-02-28,52,1,3,59,103.26,95.73,30.4,4.23,3.91,0.88,467.03,85.83,93.44,-4.23
60,2023-03-01,53,3,3,60,114.13,107.79,43.35,4.43,3.73,20.05,445.92,98.48,127.74,1.55
61,2023-03-02,54,1,4,61,96.21,89.28,22.6,3.85,3.95,0.69,247.96,105.39,135.45,-4.35
62,2023-03-03,55,2,2,62,105.44,90.73,39.15,3.12,3.95,13.71,932.92,83.15,107.35,-0.27
63,2023-03-04,21,1,4,63,86.91,76.41,22.33,2.13,3.63,13.26,222.15,130.96,59.69,4.77
64,2023-03-05,56,3,4,64,96.89,90.06,24.94,4.65,3.76,9.2,632.23,101.54,82.02,3.67
65,2023-03-06,57,3,1,65,113.91,100.51,35.4,5.48,0.92,0.91,153.55,149.24,75.29,-3.74
66,2023-03-07,35,1,3,66,101.17,92.22,30.86,4.93,1.11,15.91,263.07,62.35,110.42,0.43
67,2023-03-08,5,2,1,67,93.64,79.64,36.67,5.57,3.6,17.82,394.61,68.35,91.09,-3.58
68,2023-03-09,21,2,1,68,88.61,81.0,44.34,5.72,3.04,0.74,276.79,130.18,91.23,-3.49
69,2023-03-10,58,2,2,69,106.11,97.17,21.32,3.8,3.56,8.46,445.36,105.43,115.46,-3.74
70,2023-03-11,59,2,1,70,104.35,94.3,24.79,4.79,3.2,13.6,724.28,86.0,53.18,-4.03
71,2023-03-12,3,1,4,71,96.22,82.29,36.01,3.59,0.99,24.37,682.83,91.04,63.23,-2.95
72,2023-03-13,60,3,2,72,113.53,99.84,42.41,5.68,3.71,14.02,594.6,106.38,138.85,4.17
73,2023-03-14,61,3,3,73,85.67,74.92,39.94,4.25,3.2,20.78,373.06,58.58,133.62,-1.42
74,2023-03-15,62,2,4,74,94.11,86.89,31.64,5.01,2.5,11.25,860.62,126.51,144.11,3.53
75,2023-03-16,63,2,3,75,112.63,103.6,38.64,2.06,2.36,1.27,872.86,94.91,70.97,-4.62
76,2023-03-17,64,2,3,76,94.63,79.87,25.2,4.3,2.51,8.47,297.78,91.25,84.1,0.88
77,2023-03-18,65,2,1,77,92.57,81.49,20.34,4.97,1.87,11.14,971.33,127.32,61.18,0.8
78,2023-03-19,66,3,4,78,101.03,88.22,34.25,3.03,3.31,12.9,247.69,106.92,114.04,4.21
79,2023-03-20,67,3,2,79,109.71,100.22,40.33,2.06,3.68,6.86,332.74,125.42,128.15,-3.63
80,2023-03-21,68,3,4,80,88.09,77.77,30.84,4.97,1.39,11.24,754.63,142.86,111.79,2.57
81,2023-03-22,69,3,3,81,113.29,104.0,34.23,3.35,0.63,10.07,750.5,144.58,109.65,2.89
82,2023-03-23,70,2,4,82,108.85,96.82,30.55,3.72,1.21,4.2,312.54,92.93,130.25,0.24
83,2023-03-24,71,1,1,83,90.44,76.92,32.85,4.25,3.15,18.08,567.03,56.95,58.83,-2.74
84,2023-03-25,72,2,1,84,106.36,96.29,42.11,2.44,3.54,8.62,124.14,51.25,124.21,-1.57
85,2023-03-26,73,1,2,85,96.55,86.74,31.95,2.41,1.72,8.2,617.62,120.52,139.26,0.35
86,2023-03-27,74,3,3,86,97.07,88.67,20.19,5.84,1.03,2.37,932.31,58.15,114.6,-0.09
87,2023-03-28,75,2,2,87,108.5,101.73,40.0,3.36,3.5,23.13,258.96,89.02,118.4,2.0
88,2023-03-29,76,2,2,88,113.88,99.49,35.44,3.02,1.25,16.87,113.06,116.23,114.32,-2.44
89,2023-03-30,77,3,1,89,88.8,80.64,38.26,2.19,1.35,18.69,802.36,149.84,132.38,-2.04
90,2023-03-31,48,3,1,90,97.62,84.61,42.53,2.7,0.82,17.67,949.7,72.31,89.68,4.05
91,2023-04-01,78,1,3,91,99.43,87.27,27.16,3.72,3.69,4.4,348.2,50.97,135.81,2.41
92,2023-04-02,79,3,2,92,96.29,83.38,32.58,3.37,1.64,3.67,899.47,54.13,77.01,-1.45
93,2023-04-03,80,1,4,93,95.9,81.53,35.06,3.7,1.1,23.67,509.9,72.33,61.52,2.21
94,2023-04-04,81,3,4,94,86.57,75.33,28.63,4.82,3.84,0.88,812.33,149.3,56.16,-4.74
95,2023-04-05,82,1,1,95,105.57,91.59,41.15,4.57,1.67,22.16,371.45,57.71,59.84,-1.46
96,2023-04-06,25,3,3,96,98.09,91.41,37.44,3.97,3.12,22.98,936.28,124.93,95.63,-3.57
97,2023-04-07,83,3,2,97,90.84,79.58,38.34,5.26,1.31,14.07,164.9,64.99,109.52,-2.1
98,2023-04-08,84,3,3,98,109.48,96.76,40.2,5.43,3.04,9.64,890.21,70.38,113.56,0.65
99,2023-04-09,85,1,3,99,109.08,101.36,26.45,4.36,1.31,15.05,401.65,58.59,106.45,1.44
100,2023-04-10,86,3,2,100,99.59,87.18,38.64,2.47,2.73,13.8,103.98,72.81,70.69,4.64
101,2023-04-11,87,2,3,101,93.95,81.17,39.35,3.62,2.04,24.42,367.62,61.55,136.57,1.09
102,2023-04-12,88,3,1,102,104.14,90.83,41.06,4.54,3.3,9.1,830.08,51.74,71.09,-2.05
103,2023-04-13,89,1,1,103,93.64,85.52,32.21,2.25,3.06,15.08,186.28,129.86,132.57,2.84
104,2023-04-14,90,1,2,104,92.08,80.26,32.6,2.08,3.77,13.35,697.76,69.05,121.42,-1.11
105,2023-04-15,17,3,4,105,106.92,98.87,22.45,5.79,1.82,4.68,868.72,61.86,85.53,-3.79
106,2023-04-16,91,2,4,106,86.21,73.82,41.3,4.92,3.14,21.93,378.12,77.22,92.2,1.07
107,2023-04-17,92,2,1,107,87.84,78.21,33.34,2.61,3.89,5.58,494.52,125.38,131.37,0.45
108,2023-04-18,93,1,3,108,85.2,74.23,34.86,3.78,1.68,15.33,111.01,72.48,148.52,-4.71
109,2023-04-19,94,2,2,109,89.59,80.43,23.04,2.77,1.52,9.21,295.51,104.19,74.32,-3.08
110,2023-04-20,12,3,1,110,87.07,80.45,35.05,2.04,3.19,21.25,278.42,71.7,118.87,-3.57
111,2023-04-21,95,3,1,111,114.87,108.09,21.05,3.57,2.06,21.29,852.63,88.71,57.43,-0.66
112,2023-04-22,96,2,1,112,93.66,87.89,43.08,4.59,1.9,3.98,902.94,102.13,58.08,4.95
113,2023-04-23,94,3,3,113,89.48,78.3,41.59,5.82,2.41,23.84,584.37,125.78,95.1,2.55
114,2023-04-24,97,1,2,114,92.23,78.74,24.86,5.08,3.77,4.06,623.92,78.17,51.84,-1.9
115,2023-04-25,81,1,2,115,113.08,107.88,34.85,2.92,0.79,11.64,160.05,94.65,141.05,4.51
116,2023-04-26,62,3,4,116,100.6,94.94,35.07,3.34,2.13,17.61,599.73,114.29,88.63,0.31
117,2023-04-27,23,1,2,117,95.94,86.37,40.09,4.08,0.89,10.45,330.68,77.52,88.12,3.44
118,2023-04-28,98,3,1,118,111.2,98.82,38.92,2.77,3.59,14.09,443.64,72.0,82.58,4.85
119,2023-04-29,99,2,4,119,96.85,90.27,44.83,5.33,0.98,24.91,521.65,106.89,79.89,3.09
120,2023-04-30,100,3,3,120,95.05,87.33,28.77,2.67,0.81,6.82,625.54,145.24,59.33,3.28
121,2023-05-01,101,2,4,121,91.22,83.9,23.12,3.16,3.87,19.17,562.26,141.01,110.74,4.5
122,2023-05-02,102,1,2,122,96.33,87.34,34.34,4.31,2.47,16.64,211.63,110.04,75.34,-2.84
123,2023-05-03,103,2,1,123,94.5,87.25,39.1,2.49,3.39,23.71,539.4,92.2,84.7,3.5
124,2023-05-04,49,2,1,124,105.32,96.79,27.14,4.5,2.15,2.96,349.57,106.58,83.61,-3.28
125,2023-05-05,104,1,2,125,93.69,81.4,25.91,5.78,2.02,7.07,887.88,130.2,83.96,0.56
126,2023-05-06,80,2,4,126,102.32,91.21,40.06,4.77,3.69,19.27,245.64,59.28,137.94,-3.93
127,2023-05-07,105,3,4,127,86.98,81.16,38.84,5.25,3.96,20.54,688.01,128.12,97.1,-1.65
128,2023-05-08,42,2,2,128,90.74,79.36,25.08,3.75,2.66,18.04,821.64,115.8,101.0,-3.53
129,2023-05-09,106,1,1,129,97.22,87.45,41.73,3.46,3.71,4.22,173.48,76.9,128.4,3.33
130,2023-05-10,49,3,2,130,113.11,98.76,23.37,3.31,3.52,8.6,601.12,137.6,80.79,1.1
131,2023-05-11,58,2,3,131,96.32,88.42,22.73,4.64,2.4,6.01,312.53,57.99,126.05,-3.02
132,2023-05-12,1,3,4,132,104.92,92.66,28.78,4.07,3.79,19.24,266.48,141.87,68.05,3.55
133,2023-05-13,107,3,3,133,92.65,80.34,42.16,3.89,1.24,22.4,314.55,88.79,120.84,1.42
134,2023-05-14,108,1,3,134,88.81,81.6,37.39,2.4,3.6,15.51,402.62,131.03,64.38,-4.23
135,2023-05-15,109,2,4,135,86.76,72.72,29.87,4.69,1.58,4.33,853.72,65.45,118.89,-1.84
136,2023-05-16,110,3,2,136,94.16,84.25,23.93,4.9,0.61,21.78,379.68,106.75,96.88,-3.68
137,2023-05-17,111,3,2,137,89.73,77.94,37.84,2.78,3.25,11.18,987.72,53.34,56.53,-4.08
138,2023-05-18,112,3,4,138,90.22,83.76,34.98,5.04,3.76,4.78,107.77,77.87,110.1,1.81
139,2023-05-19,113,3,1,139,107.82,100.24,44.69,5.52,1.26,15.7,839.53,132.97,119.14,-3.7
140,2023-05-20,103,1,1,140,85.48,74.61,39.14,2.7,2.37,2.55,236.97,95.44,70.21,-3.53
141,2023-05-21,9,3,1,141,101.73,93.54,22.55,3.81,3.12,15.18,793.57,115.95,143.53,2.8
142,2023-05-22,30,3,4,142,96.38,86.39,38.21,5.5,1.66,24.3,670.19,130.72,72.74,4.22
143,2023-05-23,114,1,4,143,100.2,91.46,26.44,3.95,1.01,15.04,632.72,103.03,81.13,-2.37
144,2023-05-24,115,1,3,144,101.88,90.48,44.05,5.26,1.87,21.49,289.88,108.58,123.6,4.49
145,2023-05-25,116,1,3,145,94.4,84.53,20.48,2.86,2.1,21.7,735.25,126.63,70.03,-2.2
146,2023-05-26,117,1,3,146,93.85,88.81,25.96,2.26,3.1,4.59,547.32,62.04,142.13,-1.36
147,2023-05-27,81,2,4,147,107.0,95.51,32.47,2.24,1.2,16.92,930.11,57.16,114.1,1.51
148,2023-05-28,118,2,3,148,111.14,101.92,21.98,5.89,3.35,13.58,294.42,112.19,124.88,2.41
149,2023-05-29,32,1,4,149,90.78,82.36,28.6,2.66,2.26,1.63,879.55,147.51,61.9,4.87
150,2023-05-30,119,2,2,150,87.93,81.99,32.43,5.46,3.66,5.04,768.52,114.48,132.17,2.7
151,2023-05-31,5,3,3,151,111.93,104.73,31.17,3.26,2.48,4.67,185.27,120.51,106.88,-0.6
152,2023-06-01,120,3,3,152,95.5,88.26,31.51,2.16,2.06,15.69,577.8,115.86,126.95,-3.92
153,2023-06-02,121,1,1,153,101.54,87.19,41.98,2.96,1.5,4.36,728.26,110.57,57.16,1.26
154,2023-06-03,122,3,1,154,95.79,86.46,32.63,4.02,0.87,7.96,172.62,69.76,110.85,3.42
155,2023-06-04,123,3,4,155,88.77,83.35,43.53,2.43,1.8,3.15,430.1,134.03,118.96,3.32
156,2023-06-05,124,3,3,156,102.68,96.29,23.69,5.69,1.95,2.0,783.02,107.64,99.47,2.17
157,2023-06-06,125,3,4,157,100.75,94.96,27.01,5.6,2.49,24.93,497.96,147.84,133.53,2.57
158,2023-06-07,126,1,4,158,91.09,80.2,36.41,2.6,3.51,10.21,289.0,56.91,143.96,-3.7
159,2023-06-08,127,3,1,159,98.56,91.69,27.08,4.95,2.12,12.79,240.31,79.85,72.29,-3.74
160,2023-06-09,128,3,4,160,108.91,98.92,28.68,3.84,1.6,1.39,845.12,59.94,56.07,0.78
161,2023-06-10,129,3,4,161,102.71,94.01,42.53,5.93,3.56,4.43,160.15,135.92,127.31,-4.38
162,2023-06-11,130,2,1,162,87.91,74.87,33.46,2.22,3.07,15.17,209.38,131.79,98.07,-3.18
163,2023-06-12,131,3,3,163,101.44,93.24,28.37,3.88,1.57,10.31,852.98,127.31,55.81,2.34
164,2023-06-13,132,2,4,164,106.08,96.5,39.42,3.14,1.08,15.5,704.19,117.86,58.91,-4.75
165,2023-06-14,133,1,4,165,108.78,96.57,21.77,4.91,1.52,8.1,311.98,60.66,72.77,-3.38
166,2023-06-15,13,1,1,166,103.87,94.54,34.09,2.44,0.93,12.54,249.47,90.59,50.45,2.91
167,2023-06-16,134,1,3,167,89.58,76.65,22.49,4.51,3.66,22.81,200.87,120.45,97.01,4.24
168,2023-06-17,135,2,3,168,106.31,94.69,24.42,5.79,2.64,15.61,143.54,86.08,87.03,-2.5
169,2023-06-18,136,2,2,169,105.32,96.21,21.56,3.82,3.52,17.95,290.02,121.78,54.57,0.08
170,2023-06-19,137,1,1,170,85.73,75.69,42.54,3.82,3.37,23.17,790.84,78.54,74.1,3.85
171,2023-06-20,138,3,4,171,97.35,82.68,21.21,3.98,1.04,18.03,653.25,104.35,124.0,3.06
172,2023-06-21,139,1,4,172,94.99,83.37,32.91,3.66,2.05,16.36,746.96,85.45,130.74,3.54
173,2023-06-22,140,3,4,173,105.08,91.03,25.62,3.79,3.9,21.41,976.4,142.15,50.4,-1.78
174,2023-06-23,83,3,1,174,91.48,84.7,29.59,3.85,1.32,17.47,483.85,94.24,60.64,-2.08
175,2023-06-24,77,3,4,175,102.73,92.89,32.34,5.99,0.68,15.25,932.97,78.67,149.83,2.23
176,2023-06-25,84,1,2,176,112.4,98.31,31.25,2.47,1.71,6.38,169.24,55.7,114.88,0.2
177,2023-06-26,115,2,1,177,108.93,100.71,38.7,3.14,2.29,1.14,809.43,64.55,118.49,3.69
178,2023-06-27,141,2,1,178,112.64,97.97,42.8,2.84,0.7,10.81,659.55,106.49,87.94,2.44
179,2023-06-28,142,3,3,179,114.36,108.38,27.51,4.18,1.99,20.58,675.26,120.11,100.44,-1.51
180,2023-06-29,88,2,2,180,85.32,71.29,20.61,2.01,1.39,13.32,101.66,145.44,100.78,3.26
181,2023-06-30,143,3,3,181,103.68,94.23,42.35,5.68,1.24,2.56,283.03,109.68,84.79,4.23
182,2023-07-01,144,3,2,182,97.39,91.65,44.47,4.12,1.42,11.29,958.42,118.08,118.97,-3.82
183,2023-07-02,145,1,1,183,110.8,97.0,30.83,5.58,0.87,15.32,686.05,111.98,107.26,0.38
184,2023-07-03,146,1,2,184,92.55,85.04,31.39,3.38,0.77,6.31,923.5,140.25,144.37,0.7
185,2023-07-04,147,1,3,185,114.43,109.21,23.6,2.6,2.59,2.56,227.53,80.24,50.68,-4.4
186,2023-07-05,104,1,3,186,103.41,97.05,31.89,2.77,3.82,14.17,589.25,110.32,138.51,-4.85
187,2023-07-06,148,2,3,187,108.81,97.21,27.58,3.88,3.32,2.65,328.44,145.98,144.91,-3.2
188,2023-07-07,149,1,4,188,87.57,72.79,44.86,2.16,3.42,0.79,971.54,50.71,64.72,3.35
189,2023-07-08,150,1,1,189,90.5,84.39,24.62,5.13,3.07,18.64,789.58,77.1,72.2,1.41
190,2023-07-09,151,1,2,190,107.75,98.13,29.46,5.16,3.85,11.73,969.28,125.88,55.05,-3.2
191,2023-07-10,152,2,1,191,85.66,78.85,35.41,4.81,3.83,1.52,129.63,96.99,73.51,1.07
192,2023-07-11,153,2,3,192,109.51,97.06,28.63,5.59,3.22,15.13,302.57,66.84,113.93,1.28
193,2023-07-12,154,1,4,193,85.42,79.24,31.86,4.2,3.01,0.82,923.79,107.17,71.68,-0.33
194,2023-07-13,155,1,1,194,104.71,97.32,44.34,3.92,1.57,8.5,242.94,101.51,135.21,0.25
195,2023-07-14,111,2,4,195,95.95,88.99,32.7,4.12,0.82,4.7,705.31,95.41,141.46,1.92
196,2023-07-15,85,1,1,196,103.34,92.82,42.76,2.73,0.83,10.19,932.13,84.17,52.77,4.01
197,2023-07-16,27,3,3,197,105.88,92.15,21.08,4.05,3.08,0.85,110.76,55.25,100.69,3.57
198,2023-07-17,131,2,3,198,95.27,85.16,23.0,4.17,0.6,24.3,581.64,110.41,51.56,2.09
199,2023-07-18,156,3,1,199,88.24,82.66,43.61,5.06,3.36,4.13,646.99,101.73,111.93,3.56
200,2023-07-19,107,3,3,200,87.09,76.46,23.22,3.39,1.78,23.97,797.23,108.54,84.75,1.27
201,2023-07-20,118,1,4,201,102.67,89.69,38.41,2.37,1.17,12.9,797.73,50.24,134.59,2.5
202,2023-07-21,100,1,1,202,100.62,94.3,31.15,4.39,1.93,2.16,595.13,58.27,141.75,3.84
203,2023-07-22,157,3,3,203,107.27,101.54,30.17,5.15,2.96,22.06,897.33,66.77,99.85,3.79
204,2023-07-23,158,2,4,204,100.29,93.41,36.48,5.88,1.46,10.64,337.48,94.84,145.26,3.12
205,2023-07-24,157,1,1,205,97.67,85.21,38.19,2.36,1.11,4.1,471.51,130.79,136.67,0.48
206,2023-07-25,61,3,4,206,96.94,86.03,43.3,4.99,3.08,7.13,697.17,74.58,59.66,-3.1
207,2023-07-26,95,2,2,207,85.79,75.39,26.42,4.38,3.58,7.69,824.97,130.83,85.61,3.4
208,2023-07-27,41,2,1,208,95.07,87.57,37.45,2.06,2.55,15.41,403.34,73.53,84.04,2.59
209,2023-07-28,32,1,4,209,114.28,105.96,28.56,4.87,2.33,24.31,410.89,124.9,80.36,2.72
210,2023-07-29,159,1,1,210,111.21,96.55,37.94,2.1,3.14,5.06,518.57,137.42,129.74,-3.75
211,2023-07-30,82,1,2,211,94.88,87.48,23.55,5.14,3.06,5.71,359.19,131.65,80.09,3.56
212,2023-07-31,64,3,3,212,102.63,88.62,31.44,4.89,0.52,24.25,402.78,123.84,87.92,2.98
213,2023-08-01,160,3,3,213,110.42,99.61,24.59,4.75,1.49,5.89,665.98,53.84,58.58,-1.03
214,2023-08-02,59,2,3,214,98.24,92.01,28.41,2.48,3.76,6.14,297.52,83.02,101.99,-0.21
215,2023-08-03,109,2,4,215,85.54,75.87,37.89,5.68,3.86,24.79,563.54,69.65,61.71,4.54
216,2023-08-04,161,3,4,216,87.24,72.75,25.83,5.6,2.29,16.54,967.59,97.46,136.91,-4.56
217,2023-08-05,78,3,2,217,100.31,91.13,37.12,5.6,2.46,8.03,923.24,85.43,129.84,-3.68
218,2023-08-06,162,1,1,218,114.08,100.45,32.4,3.44,0.5,6.43,449.3,111.78,80.23,3.17
219,2023-08-07,163,1,2,219,105.8,98.23,22.3,3.97,2.85,12.21,336.58,106.57,50.46,1.13
220,2023-08-08,131,3,2,220,87.13,76.42,29.67,2.46,1.24,8.35,991.96,93.09,57.15,-4.46
221,2023-08-09,135,2,4,221,90.68,77.24,41.73,2.2,0.95,0.72,295.38,126.74,71.8,1.99
222,2023-08-10,52,1,4,222,108.14,93.93,44.73,2.24,1.57,2.21,837.2,51.48,99.82,-1.12
223,2023-08-11,164,1,4,223,110.24,100.38,29.22,4.28,2.83,13.72,960.08,136.58,123.12,-0.42
224,2023-08-12,162,3,3,224,103.53,92.13,21.37,3.29,2.03,6.94,999.04,50.3,59.89,-2.75
225,2023-08-13,165,2,2,225,104.33,99.3,23.25,4.32,1.72,23.58,490.1,95.2,120.83,-3.24
226,2023-08-14,96,3,3,226,85.85,78.32,39.7,4.37,3.04,17.53,481.47,138.13,104.67,-0.73
227,2023-08-15,136,2,4,227,109.86,102.07,36.39,5.63,3.35,24.46,704.59,91.8,111.96,0.84
228,2023-08-16,166,1,4,228,108.65,102.71,27.13,5.53,3.54,20.22,457.52,125.57,142.78,-2.84
229,2023-08-17,167,3,2,229,92.77,84.97,29.78,4.87,2.06,8.18,311.85,90.29,145.29,-0.46
230,2023-08-18,161,2,3,230,106.26,98.05,40.28,5.27,3.01,18.74,373.89,135.09,123.74,0.87
231,2023-08-19,168,1,1,231,91.45,76.76,30.33,2.01,3.6,11.88,176.32,149.92,119.27,-0.17
232,2023-08-20,21,2,3,232,86.21,74.52,38.89,2.06,3.68,13.08,309.89,139.83,126.27,-0.32
233,2023-08-21,169,2,3,233,91.03,81.77,27.38,3.83,2.22,13.48,266.49,55.57,117.3,-2.11
234,2023-08-22,170,1,3,234,90.36,75.48,38.12,4.61,1.74,17.27,516.01,64.83,51.03,-3.88
235,2023-08-23,131,3,2,235,95.13,88.6,31.66,5.18,3.65,9.35,980.89,104.19,149.67,4.5
236,2023-08-24,17,3,1,236,97.55,87.79,33.63,3.79,1.42,19.71,710.77,146.16,113.69,4.03
237,2023-08-25,131,1,3,237,100.26,88.79,34.97,5.76,3.29,4.76,270.62,90.63,98.87,4.3
238,2023-08-26,171,1,2,238,99.3,93.75,31.26,5.26,3.68,9.26,917.32,77.7,95.28,0.47
239,2023-08-27,135,3,3,239,93.12,80.95,31.65,2.41,3.09,17.06,241.37,146.5,73.42,-2.39
